일자,서울,부산,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경남,제주,대구,경북,합계
1/23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1/24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1/25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1/26,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3
1/27,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4
1/28,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4
1/29,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4
1/30,3,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6
1/31,4,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,8
2/1,7,0,1,0,0,0,0,3,0,0,0,1,0,0,0,0,0,12
2/2,7,0,2,0,0,0,0,5,0,0,0,1,0,0,0,0,0,15
2/3,7,0,2,0,0,0,0,5,0,0,0,1,0,0,0,0,0,15
2/4,7,0,2,1,0,0,0,5,0,0,0,1,0,0,0,0,0,16
2/5,7,0,2,2,0,0,0,7,0,0,0,1,0,0,0,0,0,19
2/6,10,0,2,3,0,0,0,8,0,0,0,1,0,0,0,0,0,24
2/7,10,0,2,3,0,0,0,8,0,0,0,1,0,0,0,0,0,24
2/8,10,0,2,3,0,0,0,8,0,0,0,1,0,0,0,0,0,24
2/9,10,0,2,3,0,0,0,11,0,0,0,1,0,0,0,0,0,27
2/10,10,0,2,3,0,0,0,11,0,0,0,1,0,0,0,0,0,27
2/11,10,0,2,3,0,0,0,12,0,0,0,1,0,0,0,0,0,28
2/12,10,0,2,3,0,0,0,12,0,0,0,1,0,0,0,0,0,28
2/13,10,0,2,3,0,0,0,12,0,0,0,1,0,0,0,0,0,28
2/14,10,0,2,3,0,0,0,12,0,0,0,1,0,0,0,0,0,28
2/15,10,0,2,3,0,0,0,12,0,0,0,1,0,0,0,0,0,28
2/16,11,0,2,3,0,0,0,12,0,0,0,1,0,0,0,0,0,29
2/17,12,0,2,3,0,0,0,12,0,0,0,1,0,0,0,0,0,30
2/18,12,0,2,3,0,0,0,12,0,0,0,1,0,0,0,1,0,31
2/19,12,2,2,3,0,0,0,12,1,0,0,1,0,3,0,11,4,51
2/20,20,8,2,2,0,0,0,12,1,0,0,1,0,3,0,30,25,104
2/21,24,8,2,4,0,0,0,14,2,1,1,2,0,7,1,110,28,204
2/22,30,11,2,6,2,1,1,20,6,3,1,3,1,7,1,193,145,433
2/23,31,19,2,8,3,1,1,24,6,3,1,3,1,17,2,310,170,602
2/24,35,34,2,9,3,2,1,35,6,3,1,3,1,20,2,483,193,833
2/25,41,42,2,9,3,3,1,42,6,5,2,3,1,23,2,543,249,977
2/26,49,58,3,9,5,4,1,51,6,5,3,3,1,34,2,710,317,1261
2/27,56,61,3,9,9,11,1,62,6,8,12,5,1,43,2,1132,345,1766
2/28,62,65,4,9,14,14,1,72,7,9,35,5,1,49,2,1579,409,2337
2/29,77,80,6,9,13,17,1,82,7,10,55,5,3,59,2,2236,488,3150
3/1,87,83,6,9,13,20,1,89,15,11,68,6,3,63,2,2705,555,3736
3/2,91,88,7,9,14,20,1,92,19,11,78,6,5,64,2,3081,624,4212
3/3,98,90,7,11,14,20,1,94,20,12,81,7,5,64,3,3600,685,4812
3/4,99,93,9,13,15,23,1,101,21,11,82,7,5,65,3,4006,774,5328
3/5,103,92,9,14,16,23,1,110,23,12,86,7,5,74,4,4326,861,5766
3/6,105,95,9,13,18,23,1,120,25,15,90,7,5,77,4,4693,984,6284
3/7,108,96,9,13,18,23,2,130,26,20,92,7,4,82,4,5084,1049,6767
3/8,120,97,9,13,18,24,3,141,27,24,98,7,4,83,4,5381,1081,7134
3/9,130,96,9,15,19,24,6,152,28,25,102,7,4,83,4,5571,1107,7382
3/10,141,96,13,15,18,24,8,163,28,25,104,7,4,83,4,5663,1117,7513
3/11,193,98,25,15,18,25,10,175,29,27,112,7,4,84,4,5794,1135,7755
3/12,212,99,25,15,20,25,15,178,29,27,114,7,4,85,4,5867,1143,7869
3/13,225,100,27,15,22,27,32,185,29,27,115,7,4,85,4,5928,1147,7979
