region,date,confirmed
Seoul,01-23,1
Busan,01-23,0
Incheon,01-23,0
Gwangju,01-23,0
Daejeon,01-23,0
Ulsan,01-23,0
Sejong,01-23,0
Gyeonggi-do,01-23,0
Gangwon-do,01-23,0
Chungcheongbuk-do,01-23,0
Chungcheongnam-do,01-23,0
Jeollabuk-do,01-23,0
Jeollanam-do,01-23,0
Gyeongsangnam-do,01-23,0
Jeju-do,01-23,0
Daegu,01-23,0
Gyeongsangbuk-do,01-23,0
Seoul,01-24,1
Busan,01-24,0
Incheon,01-24,0
Gwangju,01-24,0
Daejeon,01-24,0
Ulsan,01-24,0
Sejong,01-24,0
Gyeonggi-do,01-24,0
Gangwon-do,01-24,0
Chungcheongbuk-do,01-24,0
Chungcheongnam-do,01-24,0
Jeollabuk-do,01-24,0
Jeollanam-do,01-24,0
Gyeongsangnam-do,01-24,0
Jeju-do,01-24,0
Daegu,01-24,0
Gyeongsangbuk-do,01-24,0
Seoul,01-25,1
Busan,01-25,0
Incheon,01-25,0
Gwangju,01-25,0
Daejeon,01-25,0
Ulsan,01-25,0
Sejong,01-25,0
Gyeonggi-do,01-25,0
Gangwon-do,01-25,0
Chungcheongbuk-do,01-25,0
Chungcheongnam-do,01-25,0
Jeollabuk-do,01-25,0
Jeollanam-do,01-25,0
Gyeongsangnam-do,01-25,0
Jeju-do,01-25,0
Daegu,01-25,0
Gyeongsangbuk-do,01-25,0
Seoul,01-26,1
Busan,01-26,0
Incheon,01-26,1
Gwangju,01-26,0
Daejeon,01-26,0
Ulsan,01-26,0
Sejong,01-26,0
Gyeonggi-do,01-26,1
Gangwon-do,01-26,0
Chungcheongbuk-do,01-26,0
Chungcheongnam-do,01-26,0
Jeollabuk-do,01-26,0
Jeollanam-do,01-26,0
Gyeongsangnam-do,01-26,0
Jeju-do,01-26,0
Daegu,01-26,0
Gyeongsangbuk-do,01-26,0
Seoul,01-27,1
Busan,01-27,0
Incheon,01-27,1
Gwangju,01-27,0
Daejeon,01-27,0
Ulsan,01-27,0
Sejong,01-27,0
Gyeonggi-do,01-27,2
Gangwon-do,01-27,0
Chungcheongbuk-do,01-27,0
Chungcheongnam-do,01-27,0
Jeollabuk-do,01-27,0
Jeollanam-do,01-27,0
Gyeongsangnam-do,01-27,0
Jeju-do,01-27,0
Daegu,01-27,0
Gyeongsangbuk-do,01-27,0
Seoul,01-28,1
Busan,01-28,0
Incheon,01-28,1
Gwangju,01-28,0
Daejeon,01-28,0
Ulsan,01-28,0
Sejong,01-28,0
Gyeonggi-do,01-28,2
Gangwon-do,01-28,0
Chungcheongbuk-do,01-28,0
Chungcheongnam-do,01-28,0
Jeollabuk-do,01-28,0
Jeollanam-do,01-28,0
Gyeongsangnam-do,01-28,0
Jeju-do,01-28,0
Daegu,01-28,0
Gyeongsangbuk-do,01-28,0
Seoul,01-29,1
Busan,01-29,0
Incheon,01-29,1
